gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
3075,0.021953,0.19775,0.000295,0.520574,0.03077,0.00152,0.227138,crops,0.520574,1.034,0.124,9.039,8.914
3076,0.02202,0.308133,0.001109,0.272957,0.029568,1e-06,0.366212,rangeland,0.366212,1.285,0.694,2.321,1.628
3079,0.020567,0.000697,9e-06,0.872052,0.027062,4.4e-05,0.079568,crops,0.872052,0.725,0.258,1.099,0.84
3081,0.018948,0.424309,0.000952,0.22697,0.032893,0.000525,0.295402,trees,0.424309,1.343,0.318,7.604,7.286
3082,0.017736,0.276126,0.000445,0.417379,0.016317,9.4e-05,0.271902,crops,0.417379,1.142,0.519,3.038,2.518
3083,0.008314,0.154224,0.0,0.533949,0.024069,0.000307,0.279136,crops,0.533949,1.064,0.423,7.457,7.034
3085,0.009741,6.4e-05,3e-06,0.958947,0.029128,0.0,0.002117,crops,0.958947,0.565,0.319,0.864,0.545
3087,0.020461,0.045653,0.00036,0.666178,0.024263,0.000631,0.242454,crops,0.666178,0.844,0.202,7.525,7.323
3089,0.028891,0.394946,0.002119,0.330632,0.03219,0.000349,0.210873,trees,0.394946,1.287,0.559,2.662,2.103
3091,0.007419,0.246824,3.7e-05,0.474002,0.039702,0.003236,0.22878,crops,0.474002,1.35,0.619,2.184,1.565
3092,0.022844,0.363339,9e-05,0.320815,0.023291,0.000232,0.269389,trees,0.363339,1.234,0.124,7.819,7.695
3094,0.022957,0.137051,0.000516,0.601006,0.030356,0.000685,0.20743,crops,0.601006,0.992,0.423,7.61,7.187
3098,0.034803,0.02795,0.000376,0.754371,0.070125,0.003211,0.109165,crops,0.754371,0.797,0.296,9.039,8.743
3099,0.011465,0.401241,2.7e-05,0.369258,0.027043,0.000118,0.190847,trees,0.401241,1.244,0.341,2.011,1.669
3103,0.021805,0.181836,0.000562,0.522942,0.027584,0.001385,0.243887,crops,0.522942,1.02,0.202,7.773,7.571
3105,0.004152,0.261534,2.8e-05,0.076692,0.014725,0.000174,0.642696,rangeland,0.642696,1.374,0.613,4.233,3.62
3107,0.005784,0.64057,0.000102,0.170334,0.007632,0.000917,0.174661,trees,0.64057,1.629,0.625,2.736,2.111
3109,0.025493,0.003561,4.3e-05,0.812947,0.042588,5.3e-05,0.115314,crops,0.812947,0.693,0.176,7.672,7.495
3110,0.010728,0.000268,2e-06,0.903445,0.033298,8.5e-05,0.052173,crops,0.903445,0.707,0.258,0.987,0.729
4003,0.027253,0.085464,4.3e-05,0.598363,0.062112,9.2e-05,0.226673,crops,0.598363,0.89,0.222,8.953,8.731
4004,0.014774,0.108427,0.000466,0.683683,0.034693,0.000335,0.157622,crops,0.683683,0.837,0.161,8.069,7.908
4005,0.017433,0.049503,0.00124,0.765901,0.040559,3e-06,0.12536,crops,0.765901,0.9,0.338,1.688,1.35
4006,0.013573,0.030006,8e-06,0.843889,0.034076,2.1e-05,0.078427,crops,0.843889,0.661,0.226,4.091,3.866
4007,0.017093,0.009394,0.000119,0.710522,0.132785,0.001138,0.128948,crops,0.710522,0.745,0.306,1.547,1.241
4012,0.010614,0.002525,0.000263,0.746441,0.038272,0.000165,0.20172,crops,0.746441,0.763,0.307,1.155,0.848
4013,0.021561,0.366092,0.000413,0.460086,0.037973,0.000302,0.113573,crops,0.460086,1.409,0.338,8.069,7.731
4015,0.040078,0.663196,0.000102,0.157653,0.025906,0.000244,0.11282,trees,0.663196,2.079,0.45,8.069,7.619
4016,0.026964,0.634292,0.000127,0.200002,0.031101,0.000427,0.107087,trees,0.634292,1.888,0.386,8.069,7.683
4017,0.023752,0.050698,9.6e-05,0.747781,0.043221,0.000179,0.134275,crops,0.747781,0.749,0.18,8.953,8.773
4018,0.007,0.032308,6.2e-05,0.677882,0.034151,2.4e-05,0.248572,crops,0.677882,0.694,0.395,1.466,1.07
4019,0.022429,0.029872,7.8e-05,0.782659,0.045956,0.000216,0.11879,crops,0.782659,0.663,0.161,9.08,8.919
4021,0.040421,0.135655,9.2e-05,0.426868,0.060109,9.5e-05,0.336762,crops,0.426868,1.014,0.222,8.953,8.731
4022,0.026141,0.075075,0.000318,0.758936,0.051402,0.00082,0.087308,crops,0.758936,0.944,0.344,2.331,1.987
4023,0.010143,0.107799,0.001381,0.600983,0.037302,0.000376,0.242016,crops,0.600983,0.898,0.421,5.07,4.65
4024,0.007254,3.9e-05,0.0,0.946303,0.010329,0.0,0.036075,crops,0.946303,0.391,0.228,0.649,0.422
4025,0.012386,0.245129,0.000202,0.650397,0.027652,3e-05,0.064205,crops,0.650397,1.179,0.467,7.786,7.319
4026,0.026028,0.101371,3.5e-05,0.591246,0.067777,0.00014,0.213403,crops,0.591246,0.924,0.222,8.953,8.731
4028,0.023279,0.102357,0.000217,0.77704,0.043586,6.3e-05,0.053458,crops,0.77704,1.047,0.431,2.331,1.899
4030,0.010573,0.023935,4.9e-05,0.739253,0.026942,0.000438,0.19881,crops,0.739253,0.619,0.192,2.896,2.704
4031,0.014452,0.112033,0.000446,0.67827,0.034738,0.000324,0.159737,crops,0.67827,0.843,0.161,8.069,7.908
4032,0.011266,0.176182,3.1e-05,0.739813,0.03796,3.4e-05,0.034714,crops,0.739813,1.073,0.422,7.458,7.036
4038,0.040252,0.037359,2.8e-05,0.650793,0.088984,0.000198,0.182386,crops,0.650793,0.728,0.187,9.08,8.893
4039,0.002157,0.003309,3e-06,0.930318,0.039047,1.7e-05,0.02515,crops,0.930318,0.593,0.292,1.416,1.124
4040,0.020761,0.193962,0.000317,0.619924,0.037426,0.000238,0.127372,crops,0.619924,1.033,0.161,8.069,7.908
4041,0.032082,0.002505,0.001155,0.905528,0.054643,6.7e-05,0.00402,crops,0.905528,0.781,0.531,1.346,0.815
4044,0.052911,0.078193,2.3e-05,0.431302,0.13927,0.000784,0.297517,crops,0.431302,0.797,0.187,8.908,8.721
4047,0.024799,0.152859,2e-06,0.596756,0.047596,0.001843,0.176146,crops,0.596756,1.06,0.305,4.339,4.034
4048,0.025236,0.155767,3e-06,0.541371,0.050838,0.00026,0.226525,crops,0.541371,1.082,0.357,7.151,6.794
4049,0.021291,0.026231,0.0,0.690023,0.062288,3.4e-05,0.200134,crops,0.690023,0.691,0.201,7.583,7.382
4050,0.013282,0.816254,0.000177,0.063474,0.022731,0.000764,0.083318,trees,0.816254,2.064,0.386,7.913,7.527
4051,0.005343,1.4e-05,0.0,0.956142,0.012192,0.0,0.026309,crops,0.956142,0.385,0.254,0.581,0.327
4054,0.031113,0.024971,3.4e-05,0.727939,0.068647,0.00014,0.147155,crops,0.727939,0.652,0.187,9.08,8.893
4055,0.000638,3.8e-05,0.0,0.986142,0.011293,0.0,0.001888,crops,0.986142,0.431,0.254,0.663,0.409
4056,0.023019,0.2055,3e-06,0.493015,0.090804,0.000412,0.187246,crops,0.493015,1.156,0.381,7.329,6.948
4057,0.007583,0.036785,0.00076,0.697995,0.032242,0.000232,0.224403,crops,0.697995,0.642,0.224,5.07,4.847
4060,0.022186,0.052502,0.000219,0.736476,0.045897,0.000516,0.142205,crops,0.736476,0.739,0.161,9.08,8.919
4061,0.00828,0.000315,0.0,0.892252,0.036843,7e-06,0.062303,crops,0.892252,0.511,0.242,1.034,0.792
4062,0.021801,0.051775,0.000198,0.734245,0.045223,0.000392,0.146366,crops,0.734245,0.727,0.161,9.08,8.919
4063,0.067233,0.313644,0.00026,0.187586,0.033652,0.000203,0.397422,rangeland,0.397422,1.334,0.277,8.953,8.676
4064,0.020256,0.01584,3.2e-05,0.804109,0.048986,0.00019,0.110587,crops,0.804109,0.598,0.187,9.08,8.893
5001,0.030563,0.358581,0.000417,0.442527,0.0617,0.000161,0.106051,crops,0.442527,1.29,0.217,4.758,4.541
5002,0.021065,0.278031,0.00072,0.45231,0.078935,0.00016,0.168778,crops,0.45231,1.2,0.217,8.591,8.375
5004,0.003904,0.078357,5e-05,0.578741,0.283605,0.00014,0.055202,crops,0.578741,0.745,0.309,4.701,4.392
5005,0.002159,0.255701,2e-06,0.387592,0.055433,8.3e-05,0.299031,crops,0.387592,1.152,0.525,4.15,3.625
5007,0.008398,0.529909,0.000114,0.373722,0.036562,0.0,0.051294,trees,0.529909,1.623,0.578,7.688,7.11
5008,0.020627,0.294457,0.000518,0.415839,0.086572,0.000192,0.181795,crops,0.415839,1.239,0.217,8.591,8.375
5010,0.011905,0.790662,2.5e-05,0.079093,0.039626,7.9e-05,0.07861,trees,0.790662,2.807,0.471,7.698,7.227
5012,0.016813,0.25429,0.000407,0.461352,0.102894,0.000532,0.163713,crops,0.461352,1.166,0.217,8.591,8.375
5013,0.016284,0.658532,0.000365,0.106613,0.164933,4.1e-05,0.053231,trees,0.658532,2.77,0.584,8.591,8.007
5014,0.002704,0.169343,4e-06,0.603893,0.082654,0.000347,0.141055,crops,0.603893,1.073,0.372,7.423,7.051
5015,0.01134,0.634699,2e-06,0.084313,0.024169,0.000159,0.245319,trees,0.634699,2.235,0.503,4.937,4.435
5017,0.004397,0.79178,4e-06,0.059061,0.03977,0.000137,0.104851,trees,0.79178,2.314,0.854,4.72,3.866
5018,0.019728,0.435068,3.8e-05,0.234396,0.061959,9e-05,0.248721,trees,0.435068,1.679,0.256,7.104,6.847
5021,0.009447,0.04764,0.000198,0.400515,0.231496,0.000613,0.310091,crops,0.400515,0.786,0.305,7.553,7.249
5022,0.011527,0.502157,4e-06,0.044731,0.028246,2.9e-05,0.413305,trees,0.502157,1.837,0.559,7.104,6.545
5023,0.002344,0.129123,0.0,0.443692,0.306427,0.000915,0.117499,crops,0.443692,0.921,0.419,4.573,4.154
5024,0.030694,0.394583,0.000249,0.451005,0.063485,0.000207,0.059778,crops,0.451005,1.39,0.217,4.758,4.541
5025,0.00075,0.329062,0.0,0.268275,0.090444,0.000159,0.31131,trees,0.329062,1.349,0.635,4.783,4.149
5027,0.022234,0.174707,0.002525,0.517185,0.082071,0.000188,0.20109,crops,0.517185,0.816,0.386,1.554,1.168
5028,0.019109,0.393445,0.000157,0.430525,0.073718,4e-05,0.083007,crops,0.430525,1.535,0.366,8.591,8.225
5029,0.021065,0.288214,0.000602,0.426389,0.08247,0.000174,0.181086,crops,0.426389,1.201,0.217,8.591,8.375
6001,0.010964,0.325699,9.2e-05,0.496308,0.051843,0.000192,0.114902,crops,0.496308,1.167,0.292,7.837,7.545
6006,0.016401,0.317691,0.000353,0.443248,0.077319,0.000524,0.144464,crops,0.443248,1.099,0.286,7.837,7.551
6007,0.009956,0.501052,0.00048,0.353936,0.045687,0.000226,0.088663,trees,0.501052,1.661,0.423,7.113,6.69
6008,0.016688,0.307405,0.00039,0.448719,0.077172,0.000557,0.149068,crops,0.448719,1.098,0.286,7.837,7.551
7001,0.015354,0.676317,0.000632,0.097759,0.016328,7.8e-05,0.193533,trees,0.676317,1.626,0.517,7.614,7.097
7002,0.008203,0.411703,5.5e-05,0.391147,0.04734,0.001026,0.140525,trees,0.411703,1.335,0.391,7.798,7.406
7005,0.004522,0.511978,0.000179,0.217927,0.021394,0.000299,0.243701,trees,0.511978,1.264,0.391,2.333,1.941
7007,0.008721,0.396468,0.000797,0.39535,0.042673,0.002198,0.153794,trees,0.396468,1.091,0.245,7.803,7.558
7008,0.006222,0.349918,2e-05,0.454933,0.051423,0.001499,0.135985,crops,0.454933,1.07,0.346,7.671,7.325
7009,0.020758,0.42852,0.000681,0.341201,0.041829,0.003059,0.163952,trees,0.42852,1.187,0.195,7.803,7.609
7011,0.006366,0.354699,1.7e-05,0.451794,0.051311,0.001874,0.133939,crops,0.451794,1.067,0.346,7.671,7.325
7015,0.008771,0.402492,1e-06,0.430469,0.029655,0.00142,0.127193,crops,0.430469,1.079,0.407,7.803,7.396
8001,0.008533,0.236843,3e-05,0.578366,0.040302,2e-05,0.135905,crops,0.578366,1.104,0.512,7.066,6.554
8003,0.027753,0.363699,0.000818,0.16853,0.031844,0.003822,0.403535,rangeland,0.403535,1.127,0.144,7.634,7.489
8005,0.015686,0.643127,0.000959,0.107971,0.011286,0.005835,0.215136,trees,0.643127,1.485,0.335,7.55,7.215
8006,0.026133,0.249513,0.000808,0.419587,0.049319,0.002361,0.252279,crops,0.419587,1.088,0.144,7.728,7.584
8009,0.027337,0.452236,0.003535,0.234674,0.046422,0.000913,0.234882,trees,0.452236,1.4,0.418,7.634,7.216
8011,0.024426,0.177017,0.000854,0.554645,0.060712,0.000249,0.182097,crops,0.554645,1.036,0.173,7.635,7.463
8013,0.011128,0.367133,0.00016,0.341219,0.023144,0.001977,0.25524,trees,0.367133,1.319,0.394,7.635,7.241
8016,0.012088,0.276009,0.000258,0.409947,0.026079,0.001844,0.273775,crops,0.409947,1.208,0.394,7.635,7.241
8020,0.032657,0.173877,0.001193,0.412036,0.047818,0.000207,0.332211,crops,0.412036,1.015,0.254,7.0,6.746
8021,0.010809,0.425379,5.6e-05,0.309156,0.027938,0.002027,0.224635,trees,0.425379,1.179,0.407,8.024,7.617
8023,0.008554,0.445832,1e-06,0.133168,0.022782,9.3e-05,0.38957,trees,0.445832,1.224,0.578,7.478,6.9
8028,0.021744,0.042526,8.6e-05,0.703333,0.104273,0.0002,0.127838,crops,0.703333,0.887,0.199,7.154,6.956
8029,0.029124,0.437219,0.000903,0.238403,0.029054,0.004358,0.260939,trees,0.437219,1.296,0.335,7.603,7.268
8030,0.017825,0.270838,0.00022,0.384922,0.035609,0.002185,0.288402,crops,0.384922,1.097,0.457,7.728,7.271
8031,0.015322,0.188762,0.000263,0.34482,0.030823,0.000835,0.419174,rangeland,0.419174,0.977,0.332,7.59,7.258
8034,0.025512,0.23053,0.000814,0.469362,0.052242,0.001968,0.219572,crops,0.469362,1.083,0.173,7.728,7.555
8035,0.026488,0.136312,0.000649,0.567584,0.065073,0.000186,0.203709,crops,0.567584,0.965,0.173,7.154,6.982
8036,0.007025,0.325842,3.1e-05,0.442247,0.028841,0.00159,0.194424,crops,0.442247,1.083,0.468,7.866,7.398
8038,0.024825,0.301005,0.000708,0.387165,0.040663,0.002664,0.242969,crops,0.387165,1.151,0.131,8.024,7.892
9001,0.017182,0.117676,0.000284,0.560264,0.023734,0.001687,0.279175,crops,0.560264,0.792,0.156,2.074,1.918
9002,0.014066,0.034589,0.000638,0.55572,0.033077,0.001011,0.360898,crops,0.55572,0.647,0.156,7.379,7.223
9005,0.004805,0.00925,3.7e-05,0.421354,0.028876,0.000622,0.535055,rangeland,0.535055,0.649,0.266,7.379,7.113
9008,0.011742,0.071276,0.000996,0.390885,0.01779,5.7e-05,0.507255,rangeland,0.507255,1.001,0.17,7.488,7.317
9009,0.01633,0.049316,0.001344,0.502579,0.032465,0.00181,0.396156,crops,0.502579,0.728,0.156,9.005,8.849
9011,0.016744,0.015384,0.000588,0.476736,0.03298,0.000545,0.457023,crops,0.476736,0.607,0.25,1.494,1.243
9012,0.009569,0.006305,0.001082,0.664029,0.04029,0.000219,0.278507,crops,0.664029,0.569,0.227,1.578,1.352
10004,0.016242,0.005624,3e-06,0.676906,0.041265,7.1e-05,0.25989,crops,0.676906,0.67,0.327,1.069,0.742
10005,0.009965,0.033015,0.0,0.516389,0.017837,7e-06,0.422787,crops,0.516389,0.88,0.285,1.696,1.411
10008,0.027967,0.017684,0.000252,0.573633,0.0534,0.000609,0.326454,crops,0.573633,0.734,0.177,7.406,7.229
10010,0.020677,0.001292,0.0,0.751324,0.029855,4.5e-05,0.196806,crops,0.751324,0.628,0.183,1.141,0.959
10011,0.02545,0.017068,0.000239,0.48431,0.03821,0.000919,0.433805,crops,0.48431,0.724,0.177,1.696,1.519
10013,0.018044,0.024453,0.001823,0.773813,0.132815,0.000127,0.048927,crops,0.773813,0.737,0.179,1.205,1.025
10014,0.019482,0.023957,0.000329,0.333916,0.047959,0.001122,0.573235,rangeland,0.573235,0.788,0.209,1.696,1.487
11001,0.019644,0.083465,0.000118,0.295372,0.024173,0.002201,0.575026,rangeland,0.575026,0.893,0.27,7.5,7.23
11005,0.005925,0.110278,1.1e-05,0.136756,0.010551,0.001029,0.73545,rangeland,0.73545,0.971,0.465,7.329,6.864
11006,0.006157,0.093321,5.6e-05,0.110535,0.008444,0.001763,0.779724,rangeland,0.779724,0.949,0.443,7.429,6.986
11007,0.022653,0.026265,0.000111,0.725531,0.056272,0.000286,0.168882,crops,0.725531,0.771,0.332,1.327,0.995
11010,0.017805,0.042398,0.000121,0.580023,0.080081,0.001793,0.27778,crops,0.580023,0.802,0.189,7.5,7.311
12001,0.010133,0.515239,7.4e-05,0.264471,0.024858,0.000946,0.184279,trees,0.515239,1.4,0.365,2.634,2.268
12004,0.019949,0.265891,0.000114,0.481027,0.027973,0.000196,0.204851,crops,0.481027,1.101,0.308,7.74,7.432
12006,0.005437,0.040734,0.0,0.516644,0.014171,7e-06,0.423008,crops,0.516644,0.832,0.383,7.333,6.95
12009,0.012188,0.076807,6.3e-05,0.526678,0.078008,0.002746,0.303511,crops,0.526678,0.835,0.313,7.556,7.242
12012,0.002406,0.111162,0.0,0.306783,0.009272,4.3e-05,0.570334,rangeland,0.570334,1.181,0.593,7.668,7.075
12015,0.00343,0.002496,0.0,0.778942,0.025483,0.000245,0.189404,crops,0.778942,0.698,0.416,1.024,0.608
12016,0.00549,0.346815,1.8e-05,0.496584,0.023099,8.4e-05,0.12791,crops,0.496584,1.15,0.514,7.369,6.855
12018,0.002879,0.132824,0.0,0.29912,0.008111,8.3e-05,0.556984,rangeland,0.556984,1.039,0.509,7.803,7.294
12020,0.026674,0.141919,0.00013,0.543674,0.024104,0.000503,0.262996,crops,0.543674,0.963,0.034,8.943,8.909
12025,0.017941,0.217111,0.00013,0.498351,0.02463,0.000777,0.24106,crops,0.498351,1.095,0.245,8.943,8.698
12026,0.018968,0.24172,0.000152,0.481531,0.025042,0.000792,0.231795,crops,0.481531,1.101,0.245,8.943,8.698
12029,0.009461,0.001911,0.0,0.71962,0.020155,1e-06,0.248851,crops,0.71962,0.688,0.264,1.356,1.091
12035,0.026611,0.169973,0.000156,0.529697,0.023931,0.000588,0.249045,crops,0.529697,1.019,0.034,8.943,8.909
12036,0.01122,0.302922,1.3e-05,0.492095,0.019426,4.3e-05,0.174281,crops,0.492095,1.087,0.392,7.369,6.976
12038,0.007116,0.463454,0.0,0.339754,0.010218,8.7e-05,0.17937,trees,0.463454,1.316,0.454,2.752,2.298
12043,0.008901,0.158982,0.000289,0.645477,0.056715,0.000254,0.129383,crops,0.645477,1.04,0.353,7.74,7.387
12044,0.01182,0.002496,0.0,0.610675,0.012764,1.5e-05,0.36223,crops,0.610675,0.555,0.31,1.22,0.91
12046,0.016989,0.238012,9.1e-05,0.495256,0.026057,0.000438,0.223157,crops,0.495256,1.078,0.308,7.869,7.561
13004,0.008448,0.089901,0.0,0.357197,0.012012,3.6e-05,0.532406,rangeland,0.532406,1.061,0.38,7.643,7.263
13006,0.007816,0.111434,0.0,0.353056,0.010832,4.2e-05,0.516821,rangeland,0.516821,1.113,0.437,7.643,7.206
13007,0.021508,0.022407,7.6e-05,0.658167,0.02885,0.0001,0.268893,crops,0.658167,0.79,0.196,8.944,8.748
13008,0.014058,0.023669,9e-05,0.660073,0.028474,9.9e-05,0.273538,crops,0.660073,0.799,0.196,8.944,8.748
13010,0.008857,0.015934,2.1e-05,0.778531,0.032335,7.4e-05,0.164248,crops,0.778531,0.784,0.271,7.598,7.327
13012,0.00688,0.012358,3.4e-05,0.792006,0.037657,7.1e-05,0.150994,crops,0.792006,0.783,0.345,7.557,7.213
13013,0.017457,0.002643,8e-06,0.683229,0.026986,9.8e-05,0.269579,crops,0.683229,0.624,0.28,1.509,1.229
13016,0.014192,0.022215,8.4e-05,0.665897,0.028058,9.9e-05,0.269454,crops,0.665897,0.786,0.196,8.944,8.748
13017,0.0137,0.026854,0.000105,0.655486,0.028454,6.8e-05,0.275334,crops,0.655486,0.82,0.196,8.944,8.748
13025,0.009461,0.012233,2.3e-05,0.751954,0.029567,4.7e-05,0.196714,crops,0.751954,0.776,0.271,7.71,7.44
14001,0.012345,0.282747,0.0,0.216305,0.068547,0.000463,0.419593,rangeland,0.419593,1.234,0.484,7.579,7.096
14003,0.034203,0.149418,7.2e-05,0.205359,0.020894,4.9e-05,0.590006,rangeland,0.590006,1.068,0.243,7.645,7.402
14004,0.010652,0.208078,0.0,0.222029,0.04069,2.9e-05,0.518521,rangeland,0.518521,1.335,0.552,7.684,7.132
14005,0.003632,0.891401,0.0,0.005543,0.008087,2.1e-05,0.091317,trees,0.891401,2.631,0.659,4.501,3.842
14008,0.009224,0.173447,0.0,0.317383,0.02656,5.9e-05,0.473326,rangeland,0.473326,1.191,0.563,7.616,7.053
14009,0.005467,0.254777,4.7e-05,0.039697,0.029364,0.00013,0.670519,rangeland,0.670519,1.248,0.63,1.867,1.237
14011,0.010068,0.325389,0.0,0.110786,0.028582,0.000161,0.525013,rangeland,0.525013,1.293,0.764,1.856,1.092
14012,0.011282,0.060904,0.0,0.314725,0.014405,3e-06,0.59868,rangeland,0.59868,0.867,0.463,7.155,6.692
14014,0.008638,0.085834,0.0,0.245296,0.009493,3.1e-05,0.650708,rangeland,0.650708,0.939,0.569,7.391,6.822
14015,0.051512,0.289665,0.0,0.074316,0.026679,8.1e-05,0.557747,rangeland,0.557747,1.251,0.707,7.309,6.602
15001,0.005926,0.876089,0.00023,0.008677,0.039288,0.000184,0.069606,trees,0.876089,2.149,1.07,4.739,3.669
15003,0.012577,0.668166,0.0,0.119115,0.046014,0.000194,0.153934,trees,0.668166,1.705,0.578,9.192,8.614
15005,0.03431,0.768655,0.00041,0.008694,0.047346,0.0004,0.140185,trees,0.768655,2.986,0.802,4.541,3.739
15006,0.003048,0.865098,0.0,0.003074,0.01192,2e-06,0.116857,trees,0.865098,3.153,1.408,4.666,3.258
15007,0.001532,0.800878,0.0,0.005168,0.174035,0.0001,0.018288,trees,0.800878,3.493,1.17,4.83,3.659
15008,0.006707,0.893142,6.6e-05,0.001672,0.028035,0.000131,0.070247,trees,0.893142,2.97,0.931,4.849,3.918
15009,0.003894,0.953224,0.0,0.000118,0.018543,2.2e-05,0.024199,trees,0.953224,3.633,1.211,4.857,3.646
15010,0.085877,0.795473,0.003474,0.005267,0.008224,0.000951,0.100734,trees,0.795473,2.357,0.518,4.569,4.051
15011,0.002645,0.774747,0.0,0.011402,0.135462,8e-06,0.075736,trees,0.774747,3.899,1.26,4.866,3.606
15012,0.004463,0.736801,0.0,0.017435,0.187916,0.000178,0.053207,trees,0.736801,3.738,0.935,4.74,3.806
15013,0.003777,0.647864,0.0,0.019288,0.298909,6.7e-05,0.030096,trees,0.647864,2.576,0.808,4.934,4.126
15014,0.001913,0.743493,0.0,0.007383,0.180604,6.2e-05,0.066545,trees,0.743493,3.703,0.926,4.864,3.938
15016,0.013329,0.495338,1.7e-05,0.227301,0.191359,0.001222,0.071434,trees,0.495338,1.624,0.252,9.192,8.941
15017,0.004722,0.82251,0.0,0.008866,0.093704,0.0004,0.069799,trees,0.82251,3.059,0.739,5.178,4.439
15018,0.04303,0.684963,0.008914,0.017849,0.135695,8.3e-05,0.109467,trees,0.684963,3.171,0.553,5.076,4.523
15019,0.014296,0.821737,0.000189,0.006477,0.086105,0.000203,0.070992,trees,0.821737,3.733,1.132,4.773,3.642
15020,0.014881,0.479397,1.4e-05,0.274675,0.149233,0.000382,0.081417,trees,0.479397,1.322,0.252,9.192,8.941
15021,0.029669,0.720176,0.00163,0.005732,0.069166,5.8e-05,0.173569,trees,0.720176,3.319,0.691,7.576,6.885
15022,0.016619,0.777879,0.002667,0.005572,0.131624,0.000187,0.065452,trees,0.777879,3.451,0.834,4.908,4.074
